«·œÊ«¡,«· —ﬂÌ»
AntiMelasma,flucinolone 0.1mg+hydroquinon 40mg+tretinoin 0.5mg / 1gr
Anxitin 10,escitalopram 10mg / c-tab
Anxitin 20,escitalopram 20mg / c-tab
Anxitin 5,escitalopram 5mg / c-tab
Arginine 1000,arginine 1000mg / 5ml
Arginine 1660,arginine 1660mg / oral-vial
Arginine 2000,arginine 2000mg / oral-vial
Arginine 500,arginine 500mg / cap
ArginineForte,arginine 5000mg / oral-vial
Artrofen 160,ketoprofenLysine 160mg / supp
Artrofen 320,ketoprofenLysine 320mg / cap
Artrofen 320,ketoprofenLysine 320mg / cap
Artrofen 5%,ketoprofenLysine 5%
Artrofen 80,ketoprofenLysine 160mg / 5ml
Atorvastatin 10,atorvastatin 10mg / c-tab
Atorvastatin 10,atorvastatin 10mg / c-tab
Atorvastatin 20,atorvastatin 20mg / c-tab
Atorvastatin 20,atorvastatin 20mg / c-tab
Atorvastatin 40,atorvastatin 40mg / c-tab
Atorvastatin 40,atorvastatin 40mg / c-tab
Atorvastatin 80,atorvastatin 80mg / c-tab
Atorvastatin 80,atorvastatin 80mg / c-tab
Azithromycin 200,azithromycin 200mg / 5ml
Azithromycin 200,azithromycin 200mg / 5ml
Azithromycin 250,azithromycin 250mg / c-tab
Azithromycin 500,azithromycin 500mg / c-tab
Azithromycin 500,azithromycin 500mg / c-tab
Azmixinal,bromhexine 4mg+guaifenesin 50mg+menthol 2.5mg+terbutaline 1.25mg / 5ml
BetaActive 10,
BetaActive 10,
BetaActive 2.5,
BetaActive 2.5,
BetaActive 20,
BetaActive 20,
BetaActive 5,
BetaActive 5,
BetaActiveH.C.T. 5/12.5,
BetaActiveH.C.T. 5/25,
Bisoprol 10,bisoprolol 10mg / c-tab
Bisoprol 2.5,bisoprolol 2.5mg / c-tab
Bisoprol 5,bisoprolol 5mg / c-tab
BisoprolH.C.T. 10/6.25,bisoprolol 10mg+H.C.T.Z. ( HydroChloroThiaZide ) 6.25mg / tab
BisoprolH.C.T. 2.5/6.25,bisoprolol 2.5mg+H.C.T.Z. ( HydroChloroThiaZide ) 6.25mg / tab
BisoprolH.C.T. 5/6.25,bisoprolol 5mg+H.C.T.Z. ( HydroChloroThiaZide ) 6.25mg / tab
Bradicore 5,ivabradine 5mg / c-tab
Bradicore 5,ivabradine 5mg / c-tab
Bradicore 7.5,ivabradine 7.5mg / c-tab
Bradicore 7.5,ivabradine 7.5mg / c-tab
Brodimexin,ammoniumHydrochloride 50mg+bromhexine 4mg+dextroMethorphan 5mg+pseudoEphedrine 30mg / 5ml
Brodimexine,ammoniumHydrochloride 50mg+bromhexine 4mg+dextroMethorphan 5mg+menthol 2.5mg+pseudoEphedrine 30mg / 5ml
Broncholysine,carbocysteine 450mg / 5ml
Brophenil,dimethindene 0.025%+phenylephrine 0.25% 
Brophenil,dimethindene 0.025%+phenylephrine 0.25% 
Brophenil,dimethindene 0.025%+phenylephrine 0.25% 
Brophenil,dimethindene 0.025%+phenylephrine 0.25% 
Budelar 200,budesonide 0.2mg
Budelar 400,budesonide 0.4mg
Butaxin 5,butamirate 5mg / ml
Butaxin 7.5,butamirate 7.5mg / 5ml
Cafin 55,cafeine 55mg / gum
CafinPlus,cafeine 100mg+taurine 25mg / gum
Calcium 200,calciumCarbonate 500mg / tab
CalciumGL,calciumGluconate 505mg+calciumLactobionate 890mg / 5ml
CavidMZ,calciumCarbonate+magnesiumHydroxide+vitD+ZincSulphate
CavidMZ,calciumCarbonate 400mg+magnesiumHydroxide 150mg+vitD 0.005mg+ZincSulphate 5mg / c-tab
Chitostat,celluloseFibers+chitosan 500mg+vitaminC 30mg / c-tab
Chitostat,celluloseFibers+chitosan 500mg+vitaminC 30mg / c-tab
Ciprofloxacin 250,ciprofloxacin 250mg / c-tab
Ciprofloxacin 250,ciprofloxacin 250mg / c-tab
Ciprofloxacin 500,ciprofloxacin 500mg / c-tab
Ciprofloxacin 500,ciprofloxacin 500mg / c-tab
Ciprofloxacin 750,ciprofloxacin 750mg / c-tab
Ciprofloxacin 750,ciprofloxacin 750mg / c-tab
Clarithromycin 125,clarithromycin 125mg / 5ml
Clarithromycin 250,clarithromycin 125mg / 5ml
ClarithromycinMR 500,clarithromycin 500mg / c-tab
ClarithromycinMR 500,clarithromycin 500mg / c-tab
Clindamycin 1%,clindamycin 1%
Coxibet 120,etoricoxib 120mg / c-tab
Coxibet 30,etoricoxib 30mg / c-tab
Coxibet 60,etoricoxib 60mg / c-tab
Coxibet 90,etoricoxib 90mg / c-tab
Decalerto 10,rivaroxaban 10mg / c-tab
Decalerto 15,rivaroxaban 15mg / c-tab
Decalerto 2.5,rivaroxaban 2.5mg / c-tab
Decalerto 20,rivaroxaban 20mg / c-tab
Dentalin 0.5%,amylocaine 0.5%
Dentalin 0.5%,amylocaine 0.5%
Depretin 20,paroxetine 20mg / tab
Depretin 30,paroxetine 30mg / tab
Depretin 40,paroxetine 40mg / tab
Dexlans 30,dexLansoprzole 30mg / DR-cap
Dexlans 30,dexLansoprzole 30mg / DR-cap
Dexlans 60,dexLansoprzole 60mg / DR-cap
Dexlans 60,dexLansoprzole 60mg / DR-cap
Diabeset 120,nateglinide 120mg / c-tab
Diabeset 60,nateglinide 60mg / c-tab
Diopiravin 75/100,
Diopiravin 75/75,
Enalapril 10,enalapril 10mg / tab
Enalapril 20,enalapril 20mg / tab
EnalaprilHCT,HydroChlorThiaZide ( H.C.T.Z. ) +enalapril 
Energetic,essentialElements+multivitamins / c-tab
FastAction,pseudoEphedrine 60mg+triprolidine 2.5mg / tab
Fenogesic 600,ibuprofen 600mg / sachet
Fenogesic 600,ibuprofen 600mg / sachet
Fexofenadine 120,fexofenadine 120mg / tab
Fexofenadine 180,fexofenadine 180mg / tab
Fexofenadine 30,fexofenadine 30mg / 5ml
Fexofenadine 60,fexofenadine 60mg / tab
FexofenadineD 12,fexofenadine 60mg+pseudoEphedrine 120mg / c-tab
FexofenadineD 12,fexofenadine 60mg+pseudoEphedrine 120mg / c-tab
FexofenadineD 24,fexofenadine 180mg+pseudoEphedrine 240mg / c-tab
FlonaCort 0.05,fluticasone 0.05mg / puff
FloxaLive 500,levofloxacin 500mg / c-tab
FloxaLive 500,levofloxacin 500mg / c-tab
FloxaLive 750,levofloxacin 750mg / c-tab
FloxaLive 750,levofloxacin 750mg / c-tab
Fluva 20,fluvastatin 20mg / cap
Fluva 40,fluvastatin 40mg / cap
Fluva 80,fluvastatin 80mg / SR-tab
Fluva 80,fluvastatin 80mg / SR-tab
Folevit,folicAcid 3mg+vitaminB1 6mg+vitaminB12 0.006mg+vitaminPP 12mg / oral-vial
FolinB12,folicAcid 1.4mg+niacin 20mg+vitaminB12 0.1mg / oral-vial
Forderm,betamethasone 0.05%+gentamicin 0.1%+tolnaftate 1%+vioform 1%
Forderm,betamethasone 0.05%+gentamicin 0.1%+tolnaftate 1%+vioform 1%
FormoVent 0.012,formoterol 0.012mg / inh-cap
"Fosfomycin 2,000",fosfomycin 2000mg / sachet
"Fosfomycin 2,000",fosfomycin 2000mg / sachet
"Fosfomycin 3,000",fosfomycin 3000mg / sachet
"Fosfomycin 3,000",fosfomycin 3000mg / sachet
GastrovitFawar,citricAcid 100mg+potassiumCitrate 50mg+riboflavin 25mg+sodiumCitrate 425mg+vitaminB1 50mg+vitaminB6 12.5mg / sachet
GastrovitFawar,citricAcid 100mg+potassiumCitrate 50mg+riboflavin 25mg+sodiumCitrate 425mg+vitaminB1 50mg+vitaminB6 12.5mg / sachet
GlucoFer,ferrousGluconate 300mg / tab
GlucoFer,ferrousGluconate 300mg / vial
GlucoFerBaby,ferrousGluconate 126mg / vial
GlucosAmine 500,glucosAmine 500mg / c-tab
GlucosAmine 500,glucosAmine 500mg / c-tab
GlucosAmineCollagen,collagen +glucosAmine  / c-tab
GlucosAmineComplex,ferrous 0.26mg+glucosAmine 500mg+vitaminC 60mg+vitaminE 20i.u. / c-tab
GlucosAmineComplex,ferrous 0.26mg+glucosAmine 500mg+vitaminC 60mg+vitaminE 20i.u. / c-tab
GlucosAmineForte,glucosAmine 1000mg / caplet
GlucosAmineGold,chondroitin 50mg+copper 0.5mg+folicAcid 0.2mg+gingerRoot 40mg+glucosamine 500mg+manganese 2mg+roseHip 50mg+selenium 0.06mg+vitD3 200i.u.+zinc 5mg / tab
GlucosAminePlatinium,
GlucosAminePlus,chondroitine 400mg+glucosAmine 500mg / c-tab
GlucosAminePlus,chondroitine 400mg+glucosAmine 500mg / c-tab
GlucosAmineT.S,chondroitine 200mg+glucosAmine 500mg+MethylSulfonylMethane 300mg / c-tab
GrandVita,minerals&Multivitamines
GreenTeaGum,chromium 21mg+greenTeaLeavsExtract 17.8mg / gum
GreenTeaGum,chromium 21mg+greenTeaLeavsExtract 17.8mg / gum
Harmostar 20,duloxetine 20mg / caplet
Harmostar 30,duloxetine 30mg / caplet
Harmostar 40,duloxetine 40mg / caplet
Harmostar 60,duloxetine 60mg / caplet
HaziCavid,calciumCarbonate 625mg+vitaminD3 0.01mg / tab
HaziCavidForte,calciumCarbonate 2500mg+vitaminD3 0.022mg / sachet
HaziParadol,caffeine 50mg+paraCetamol 250mg+propyphenazone 150mg / tab
HaziParadol,caffeine 50mg+paraCetamol 250mg+propyphenazone 150mg / tab
HaziParadol,caffeine 50mg+paraCetamol 250mg+propyphenazone 150mg / tab
HaziParadolNew,caffeine 50mg+paraCetamol 250mg+propyphenazone 150mg / tab
HealthyPregna,multivitamins for pregnant womens
Hepaveron 200,ribavirin 200mg / cap
Hypozide 150 /12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+irbesartan 150mg / tab
Hypozide 300 /12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+irbesartan 300mg / tab
Indapamide 1.5,indapamide 1.5mg / cap
Indomigraine,caffeine 75mg+indomethacin 25mg+prochlorperazine 2mg / c-tab
Indomigraine,caffeine 75mg+indomethacin 25mg+prochlorperazine 4mg / supp
IndomigraineForte,caffeine 150mg+indomethacin 50mg+prochlorperazine 8mg / supp
Influvir 100,rimantadine 100mg / c-tab
Influvir 50,rimantadine 50mg / 5ml
IronFolicZinc,ferrous 47mg+folicAcid 0.5mg+zinc 61.8mg / SR-cap
IsosorbideMono 10,isosorbideMonoNitrate 10mg / tab
IsosorbideMono 20,isosorbideMonoNitrate 20mg / tab
IsosorbideMono 40,isosorbideMonoNitrate 40mg / cap
IsosorbideMono 60,isosorbideMonoNitrate 60mg / cap
IsosorbideMono 60,isosorbideMonoNitrate 60mg / cap
Isotritine 0.05%,isotretinoin 0.05%
Isotritine 0.05%,isotretinoin 0.05%
Khellin 2%,khellin 2%
Khellin 25,khellin 25mg / tab
LactisyrNew,vaginal solution with lacticAcid base / 5ml
Lamic 100,lamotrigine 100mg / tab
Lamic 200,lamotrigine 200mg / tab
Lamic 25,lamotrigine 25mg / tab
Lamic 5,lamotrigine 5mg / chew-tab
LevoHistamine 2.5,levocetrizine 2.5mg / 5ml
LevoHistamine 5,levocetrizine 5mg / c-tab
LevoHistamine 5,levocetrizine 5mg / c-tab
"Levramax 1,000",levetiracetam 1000mg / c-tab
"Levramax 1,000",levetiracetam 1000mg / c-tab
Levramax 250,levetiracetam 250mg / c-tab
Levramax 250,levetiracetam 250mg / c-tab
Levramax 500,levetiracetam 500mg / c-tab
Levramax 500,levetiracetam 500mg / c-tab
Levramax 750,levetiracetam 750mg / c-tab
Levramax 750,levetiracetam 750mg / c-tab
Lidocain 3%,lidocaine 3%
Lipostatin 10,atorvastatin 10mg / c-tab
Lipostatin 20,atorvastatin 20mg / c-tab
Lipostatin 20,atorvastatin 20mg / c-tab
Lipostatin 40,atorvastatin 40mg / c-tab
Lipostatin 40,atorvastatin 40mg / c-tab
Lipostatin 80,atorvastatin 80mg / c-tab
Lipostatin 80,atorvastatin 80mg / c-tab
Loricstat 120,
Loricstat 120,
Loricstat 40,
Loricstat 40,
Loricstat 80,
Loricstat 80,
LornoMax 4,lornoxicam 4mg / c-tab
LornoMax 4,lornoxicam 4mg / c-tab
LornoMax 4,lornoxicam 4mg / c-tab
LornoMax 8,lornoxicam 8mg / c-tab
LornoMax 8,lornoxicam 8mg / c-tab
LornoMax 8,lornoxicam 8mg / c-tab
LSulpiride 25,levosulpiride 25mg / ml
LSulpiride 25,levosulpiride 25mg / tab
Mefenamic 50,mefenamicAcid 50mg / 5ml
Megragesic 12.5,almotriptan 12.5mg / c-tab
Metacin 60,acemetacine 60mg / cap
MetroVagyl,miconazole 150mg+metronidazole 500mg / ovule
Metroxazide,
MG 130,magnesiumPidolate 1500mg / oral-vial
Micostop 0.2%,tioconazole 0.2%
Micostop 1%,tioconazole 1%
Micostop 1%,tioconazole 1%
Micostop 100,tioconazole 100mg / vag-ovule
Micostop 2%,tioconazole 2%
Micostop 2%,tioconazole 2%
Micostop 28%,tioconazole 28%
Micostop 300,tioconazole 300mg / vag-ovule
Micostop 300,tioconazole 300mg / vag-ovule
MicroFibrate 200,fenofibrateMicronised 200mg / cap
MicroFibrate 67,fenofibrateMicronised 67mg / cap
Mignil 100,miglitol 100mg / c-tab
Mignil 25,miglitol 25mg / c-tab
Mignil 50,miglitol 50mg / c-tab
MiniVita,essentialElements+multivitamins / chew-tab
Mirtapine 15,mirtazapine 15mg / c-tab
Mirtapine 30,mirtazapine 30mg / c-tab
Moxicin 400,moxifloxacin 400mg / tab
Moxicin 400,moxifloxacin 400mg / tab
Naftine 1%,naftifine 1%
Naftine 10,naftifine 10mg / ml
Newdex,dexamethasone 0.1%+neomycin 0.35%
Newdex,dexamethasone 0.1%+neomycin 0.35%
Newspaslar 40,otilonium 40mg / tab
NexiGast 20,esomeprazole 20mg / DR-cap
NexiGast 40,esomeprazole 40mg / DR-cap
Nifemex 20,nifedipine 20mg / c-tab
Nimesulide 100,nimesulide 100mg / tab
Nimesulide 100,nimesulide 100mg / tab
Nimesulide 200,nimesulide 200mg / supp
Nimesulide 3%,nimesulide 3%
Nimesulide 3%,nimesulide 3%
Nimesulide 50,nimesulide 50mg / 5ml
OmeCarbonate 20,omeprazole 20mg+biCarbonateSodium 1100mg / cap
OmeCarbonate 40,omeprazole 40mg+biCarbonateSodium 1100mg / cap
OmeCarbonate 40,omeprazole 40mg+biCarbonateSodium 1100mg / cap
Opicadril 100,racecadotril 100mg / cap
Opicadril 100,racecadotril 100mg / cap
Oralog paste 1%,triamCinolone 0.1%
Oralog paste 1%,triamCinolone 0.1%
Orlistat 120,orlistat 120mg / cap
Otobiotic,neomexin 3400i.u.+polymyxin 10000i.u. / ml
Otocain,phenazone 25mg+procaine 29mg / ml
Oxydol 2.5/325,oxycodone 2.5mg+paraCetamol 325mg / tab
Oxydol 5/325,oxycodone 5mg+paraCetamol 325mg / 5ml
Oxydol 5/325,oxycodone 5mg+paraCetamol 325mg / tab
Oxydol 7.5/500,oxycodone 7.5mg+paraCetamol 500mg / cap
Panthobic 5%,dexpanthenol 5%
Polybiotic,bacitracin 500i.u.+neomycin 5mg+polymyxin 5000i.u. / gr
Polybiotic,bacitracin 500i.u.+neomycin 5mg+polymyxin 5000i.u. / gr
PrassuClear 10,prasugrel 10mg / c-tab
PrassuClear 10,prasugrel 10mg / c-tab
PrassuClear 10,prasugrel 10mg / c-tab
PrassuClear 5,prasugrel 5mg / c-tab
PrassuClear 5,prasugrel 5mg / c-tab
PrassuClear 5,prasugrel 5mg / c-tab
Prednisolone 20,prednisolone 20mg / tab
Prednisolone 5,prednisolone 5mg / tab
PregnaHealthy,multiVitamin for pregnant
Profigrip,ibuprofen 200mg+pseudoEphedrine 30mg / c-tab
Profigrip,ibuprofen 100mg+pseudoEphedrine 15mg / 5ml
ProfigripExtra,ibuprofen 400mg+pseudoEphedrine 60mg / c-tab
Proqitara 100,pregabalin 100mg / cap
Proqitara 100,pregabalin 100mg / cap
Proqitara 150,pregabalin 150mg / cap
Proqitara 150,pregabalin 150mg / cap
Proqitara 200,pregabalin 200mg / cap
Proqitara 200,pregabalin 200mg / cap
Proqitara 225,pregabalin 225mg / cap
Proqitara 225,pregabalin 225mg / cap
Proqitara 25,pregabalin 25mg / cap
Proqitara 25,pregabalin 25mg / cap
Proqitara 300,pregabalin 300mg / cap
Proqitara 300,pregabalin 300mg / cap
Proqitara 50,pregabalin 50mg / cap
Proqitara 50,pregabalin 50mg / cap
Proqitara 75,pregabalin 75mg / cap
Proqitara 75,pregabalin 75mg / cap
Ramipril 1.25,ramipril 1.25mg / tab
Ramipril 1.25,ramipril 1.25mg / tab
Ramipril 10,ramipril 10mg / tab
Ramipril 10,ramipril 10mg / tab
Ramipril 2.5,ramipril 2.5mg / tab
Ramipril 2.5,ramipril 2.5mg / tab
Ramipril 5,ramipril 5mg / tab
Ramipril 5,ramipril 5mg / tab
RamiprilH.C.T. 10/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 10mg / tab
RamiprilH.C.T. 10/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 10mg / tab
RamiprilH.C.T. 10/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 10mg / tab
RamiprilH.C.T. 10/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 10mg / tab
RamiprilH.C.T. 2.5/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 2.5mg / tab
RamiprilH.C.T. 2.5/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 2.5mg / tab
RamiprilH.C.T. 5/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 5mg / tab
RamiprilH.C.T. 5/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+ramipril 5mg / tab
RamiprilH.C.T. 5/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 5mg / tab
RamiprilH.C.T. 5/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+ramipril 5mg / tab
Revosyl 4,perindopril 4mg / tab
Revosyl 4,perindopril 4mg / tab
Revosyl 8,perindopril 8mg / tab
Revosyl 8,perindopril 8mg / tab
RevosylExtra 4/10,amlodipine 10mg+perindopril 4mg / tab
RevosylExtra 4/10,amlodipine 10mg+perindopril 4mg / tab
RevosylExtra 4/5,amlodipine 5mg+perindopril 4mg / tab
RevosylExtra 4/5,amlodipine 5mg+perindopril 4mg / tab
RevosylExtra 8/10,amlodipine 10mg+perindopril 8mg / tab
RevosylExtra 8/10,amlodipine 10mg+perindopril 8mg / tab
RevosylExtra 8/5,amlodipine 5mg+perindopril 8mg / tab
RevosylExtra 8/5,amlodipine 5mg+perindopril 8mg / tab
RevosylPlus 0.625/2,indapamide 0.625mg+perindopril 2mg / tab
RevosylPlus 0.625/2,indapamide 0.625mg+perindopril 2mg / tab
RevosylPlus 1.25/4,indapamide 1.25mg+perindopril 4mg / tab
RevosylPlus 1.25/4,indapamide 1.25mg+perindopril 4mg / tab
RevosylPlus 2.5/8,indapamide 2.5mg+perindopril 8mg / tab
RevosylPlus 2.5/8,indapamide 2.5mg+perindopril 8mg / tab
Risedol 30,risedronateSodium 30mg / c-tab
Risedol 35,risedronateSodium 35mg / c-tab
Risedol 5,risedronateSodium 5mg / c-tab
Risedol 75,risedronateSodium 70mg / c-tab
Rosacrest 10,rusovastatin 10mg / c-tab
Rosacrest 10,rusovastatin 10mg / c-tab
Rosacrest 20,rusovastatin 20mg / c-tab
Rosacrest 20,rusovastatin 20mg / c-tab
Rosacrest 40,rusovastatin 40mg / c-tab
Rosacrest 40,rusovastatin 40mg / c-tab
Rosacrest 5,rusovastatin 5mg / c-tab
Rosacrest 5,rusovastatin 5mg / c-tab
ScarDerm,allantoin 10mg+heparin 50i.u.+onionExtract 100mg / gr
Sildosin 4,sildosin 4mg / cap
Sildosin 8,sildosin 8mg / cap
Sitacretin 100,sitagliptin 100mg / c-tab
Sitacretin 100,sitagliptin 100mg / c-tab
Sitacretin 100,sitagliptin 100mg / c-tab
Sitacretin 25,sitagliptin 25mg / c-tab
Sitacretin 25,sitagliptin 25mg / c-tab
Sitacretin 25,sitagliptin 25mg / c-tab
Sitacretin 50,sitagliptin 50mg / c-tab
Sitacretin 50,sitagliptin 50mg / c-tab
Sitacretin 50,sitagliptin 50mg / c-tab
"SitacretinPlus 1,000/50",metformin 1000mg+sitagliptin 50mg / c-tab
"SitacretinPlus 1,000/50",metformin 1000mg+sitagliptin 50mg / c-tab
SitacretinPlus 500/50,metformin 500mg+sitagliptin 50mg / c-tab
SitacretinPlus 500/50,metformin 500mg+sitagliptin 50mg / c-tab
SitacretinPlus 850/50,metformin 850mg+sitagliptin 50mg / c-tab
SitacretinPlus 850/50,metformin 850mg+sitagliptin 50mg / c-tab
Spasticol 100,pinaverium 100mg / c-tab
Spasticol 50,pinaverium 50mg / c-tab
Spasticol 50,pinaverium 50mg / c-tab
Sucralfate 1,sucralfate 1000mg / 5ml
Sucralfate 1,sucralfate 1000mg / 5ml
Tadafort 10,tadalafil 10mg / c-tab
Tadafort 20,tadalafil 20mg / c-tab
TafirolFlex,chlorzoxazone 250mg+paraCetamol 300mg / cap
Tamsulosin 0.4,tamsulosin 0.4mg / cap
Tamusteride,donertride 0.5mg+tamsulosin 0.4mg / DR-cap
Urispam 15,propiverine 15mg / c-tab
Valproate 200,valproatrSodium 200mg / c-tab
Valproate 500,valproatrSodium 500mg / c-tab
Valsartan 160,valsartan 160mg / cap
Valsartan 160,valsartan 160mg / cap
Valsartan 160,valsartan 160mg / cap
Valsartan 320,valsartan 320mg / c-tab
Valsartan 40,valsartan 40mg / c-tab
Valsartan 40,valsartan 40mg / c-tab
Valsartan 80,valsartan 80mg / cap
Valsartan 80,valsartan 80mg / cap
Valsartan 80,valsartan 80mg / cap
Valsartan 80,valsartan 80mg / cap
ValsartanExtra 10/160,amlodipine 10mg+valsartan 160mg / c-tab
ValsartanExtra 10/160,amlodipine 10mg+valsartan 160mg / c-tab
ValsartanExtra 10/320,amlodipine 10mg+valsartan 320mg / c-tab
ValsartanExtra 10/320,amlodipine 10mg+valsartan 320mg / c-tab
ValsartanExtra 5/160,amlodipine 5mg+valsartan 160mg / c-tab
ValsartanExtra 5/160,amlodipine 5mg+valsartan 160mg / c-tab
ValsartanExtra 5/320,amlodipine 5mg+valsartan 320mg / c-tab
ValsartanExtra 5/320,amlodipine 5mg+valsartan 320mg / c-tab
ValsartanExtra 5/80,amlodipine 5mg+valsartan 80mg / c-tab
ValsartanExtra 5/80,amlodipine 5mg+valsartan 80mg / c-tab
ValsartanH.C.T. 160/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / c-tab
ValsartanH.C.T. 160/25,H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 160mg / c-tab
ValsartanH.C.T. 80/12.5,H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 80mg / c-tab
ValsartanMax 160/10/12.5,amlodipin 10mg+H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / c-tab
ValsartanMax 160/10/12.5,amlodipin 10mg+H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / c-tab
ValsartanMax 160/10/25,amlodipin 10mg+H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 160mg / c-tab
ValsartanMax 160/10/25,amlodipin 10mg+H.C.T.Z. ( HydroChloroThiaZide ) 25mg+valsartan 160mg / c-tab
ValsartanMax 160/5/12.5,amlodipin 5mg+H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / c-tab
ValsartanMax 160/5/12.5,amlodipin 5mg+H.C.T.Z. ( HydroChloroThiaZide ) 12.5mg+valsartan 160mg / c-tab
